v01000	v04001	v04002	v14201_541	v14202_541	v14205_541	v14204_541	v14206_541	v14203_541	
50136,2003,2,20997,2329,7107,13890,7361,46531,
50136,2003,3,39438,12396,14121,25317,6864,57638,
50136,2003,4,49533,19947,20531,29002,4708,55965,
50136,2003,5,51041,19565,28508,22533,6050,38436,
50136,2003,6,50428,24208,22907,27519,7159,43077,
50136,2003,7,46923,24398,28106,18815,6261,29531,
50136,2003,8,45376,20873,21315,24061,6606,40826,
50136,2003,9,36482,12411,14120,22362,5733,46935,
50136,2003,10,22284,411,9571,12712,6781,35724,
50136,2003,11,13988,-6236,5415,8572,9880,34934,
50136,2003,12,9277,-5111,3687,5588,5948,31040,
50136,2004,1,11904,-9548,6913,4991,7068,20708,
50136,2004,2,20445,-7337,10701,9744,12180,27869,
50136,2004,3,38998,1178,16089,22878,15748,46841,
50136,2004,4,54900,19470,20190,34710,11970,57870,
50136,2004,5,51987,27001,26722,25234,8215,32922,
50136,2004,6,70980,35370,24810,46140,13050,52860,
50136,2004,7,59489,32302,26071,33387,10571,49166,
50136,2004,8,51119,26071,19499,31589,9517,50623,
50136,2004,9,32010,11370,11520,20460,5670,38490,
50136,2004,10,26908,1333,9703,17205,4929,41447,
50136,2004,11,13320,-6450,6210,7080,7440,25740,
50136,2004,12,9424,-11098,6200,3193,6696,17856,
50136,2005,1,12741,-8494,6386,6324,7967,27435,
50136,2005,2,23828,-8008,8876,14952,15120,43652,
50136,2005,3,44578,6417,15190,29388,11098,59892,
50136,2005,4,44550,14730,19830,24690,6750,41280,
50136,2005,5,62062,25234,23591,38471,9517,62744,
50136,2005,6,67920,30330,24900,42990,11880,67440,
50136,2005,7,66402,30876,24118,42284,11346,63054,
50136,2005,8,54560,24800,19313,35247,10540,54715,
50136,2005,9,34530,12510,12960,21570,6720,38460,
50136,2005,10,23839,310,10819,12989,6758,30225,
50136,2005,11,13470,-8160,6720,6720,9690,23760,
50136,2005,12,9672,-11687,5642,3999,7812,22103,
50136,2006,1,11935,-12648,6820,5084,9238,24552,
50136,2006,2,20748,-8568,9940,10808,16380,28560,
50136,2006,3,41974,1023,15066,26908,22723,45446,
50136,2006,4,48630,15240,19530,29100,12990,39720,
50136,2006,5,59892,22289,27745,32147,11315,44888,
50136,2006,6,56970,28500,23820,33150,10740,47160,
50136,2006,7,62806,30690,22072,40734,12927,57319,
50136,2006,8,52421,24056,20088,32333,12121,43927,
50136,2006,9,40890,13290,13350,27510,9600,42270,
50136,2006,10,27559,372,8618,18910,8060,37665,
50136,2006,11,12990,-7260,7770,5220,10620,14850,
50136,2006,12,10199,-10261,6045,4154,8339,17360,
50136,2007,1,12555,-7967,6820,5735,9579,19065,
50136,2007,2,19404,-8120,9016,10388,15204,25928,
50136,2007,3,47647,-2480,14570,33046,21421,63550,
50136,2007,4,56430,18810,22590,33840,8220,51090,
50136,2007,5,55738,22754,28768,27807,9238,39308,
50136,2007,6,65730,28080,26790,38940,11670,57180,
50136,2007,7,59613,26350,28117,31496,10168,49941,
50136,2007,8,57350,24428,20956,36394,10540,57908,
50136,2007,9,38490,13020,16560,21930,7110,38430,
50136,2007,10,26505,0,11036,15438,8990,33139,
50136,2007,11,16440,-8580,6960,9450,9870,27870,
50136,2007,12,10695,-8494,6200,4495,5487,15686,
50136,2008,1,14942,-11718,6944,7998,6913,29667,
50136,2008,2,25201,-6119,7888,17284,12963,42891,
50136,2008,3,41013,8153,17143,23839,7626,44454,
50136,2008,4,48870,13530,24960,23880,7230,36300,
50136,2008,5,52452,19499,29481,22940,8370,37820,
50136,2008,6,67590,29190,30960,36630,11970,53130,
50136,2008,7,61163,25048,27466,33697,10571,51646,
50136,2008,8,50282,22010,19964,30318,8370,52204,
50136,2008,9,31980,12930,13890,18060,5220,39030,
50136,2008,10,20429,3007,9796,10602,6045,26753,
50136,2008,11,13410,-6180,6870,6540,10050,21420,
50136,2008,12,9827,-11098,6696,3131,6882,17577,
50136,2009,1,11966,-10912,7905,4030,8091,17174,
50136,2009,2,20888,-9184,10864,9996,14756,28952,
50136,2009,3,41385,-3565,19251,22134,25265,50003,
50136,2009,4,57960,27870,18810,39120,7680,81390,
50136,2009,5,61039,31682,27528,33511,9424,66929,
50136,2009,6,50790,30510,27090,23700,8490,43740,
50136,2009,7,56451,34286,26691,29760,9331,53692,
50136,2009,8,43431,23932,23994,19437,7564,35278,
50136,2009,9,32760,13920,15180,17550,5880,36180,
50136,2009,10,25451,2759,9982,15438,5673,39401,
50136,2009,11,15930,-8670,7080,8850,7800,28830,
50136,2009,12,9300,-8959,6076,3193,6138,12834,
50136,2010,1,13051,-8618,7440,5611,8649,20801,
50136,2010,2,22848,-9744,9772,13048,15260,34804,
50136,2010,3,45136,-3534,16027,29078,23219,60729,
50136,2010,4,51240,21750,23400,27840,8700,48660,
50136,2010,5,59148,30225,26381,32767,9083,49786,
50136,2010,6,72780,39840,27060,45720,12240,64920,
50136,2010,7,51584,25699,25575,26009,8215,37386,
50136,2010,8,49352,27063,20398,28954,8339,42656,
50136,2010,9,41040,18300,13050,27960,6960,47280,
50136,2010,10,25916,-2790,10850,15066,14508,33387,
50136,2010,11,14310,-7830,7980,6210,9120,19350,
50136,2010,12,9672,-11873,8308,1333,5146,7998,
50136,2011,1,13423,-11377,9176,4247,7967,16771,
50136,2011,2,22316,-9100,11816,10500,14840,29344,
50136,2011,3,43245,-1581,17143,26071,24397,52607,
50136,2011,4,56250,20520,21690,34530,10740,58890,
50136,2011,5,57412,30783,23870,33542,9486,50034,
50136,2011,6,66420,35970,28140,38280,12300,56250,
50136,2011,7,59303,32953,29233,30070,10664,42811,
50468,1961,1,9932766,9932766,9932766,9932766,9932766,9932766,
50468,1961,2,9932766,9932766,9932766,9932766,9932766,9932766,
50468,1961,3,9932766,9932766,9932766,9932766,9932766,9932766,
50468,1961,4,9932766,9932766,9932766,9932766,9932766,9932766,
50468,1961,5,61665,9932744,26260,35405,9932744,9932744,
50468,1961,6,61522,9932744,25257,36265,9932744,9932744,
50468,1961,7,53228,9932744,19440,33788,9932744,9932744,
50468,1961,8,46027,9932744,19558,26469,9932744,9932744,
50468,1961,9,37186,9932744,15282,21904,9932744,9932744,
50468,1961,10,31386,9932744,8807,22579,9932744,9932744,
50468,1961,11,14559,9932744,4779,9780,9932744,9932744,
50468,1961,12,9600,9932744,3595,6005,9932744,9932744,
50468,1962,1,17310,9932744,5253,12057,9932744,9932744,
50468,1962,2,26634,9932744,7710,18924,9932744,9932744,
50468,1962,3,42302,9932744,14069,28233,9932744,9932744,
50468,1962,4,56275,9932744,20208,36067,9932744,9932744,
50468,1962,5,57450,9932744,26378,31072,9932744,9932744,
50468,1962,6,65441,9932744,25867,39574,9932744,9932744,
50468,1962,7,47880,9932744,25677,22203,9932744,9932744,
50468,1962,8,43952,9932744,17769,26183,9932744,9932744,
50468,1962,9,32261,9932744,13716,18545,9932744,9932744,
50468,1962,10,25439,9932744,10156,15283,9932744,9932744,
50468,1962,11,16888,9932744,6117,10771,9932744,9932744,
50468,1962,12,10783,9932744,4533,6250,9932744,9932744,
50468,1963,1,13513,9932744,6248,7265,9932744,9932744,
50468,1963,2,24345,9932744,7550,16795,9932744,9932744,
50468,1963,3,44041,9932744,15807,28234,9932744,9932744,
50468,1963,4,47423,9932744,23922,23501,9932744,9932744,
50468,1963,5,59761,9932744,23991,35770,9932744,9932744,
50468,1963,6,46849,9932744,20307,26542,9932744,9932744,
50468,1963,7,52774,9932744,24547,28227,9932744,9932744,
50468,1963,8,48303,9932744,23172,25131,9932744,9932744,
50468,1963,9,32667,9932744,12924,19743,9932744,9932744,
50468,1963,10,22890,9932744,7617,15273,9932744,9932744,
50468,1963,11,14692,9932744,5059,9633,9932744,9932744,
50468,1963,12,10467,9932744,5446,5021,9932744,9932744,
50468,1964,1,16879,9932744,6637,10242,9932744,9932744,
50468,1964,2,30192,9932744,8955,21237,9932744,9932744,
50468,1964,3,39355,9932744,16892,22463,9932744,9932744,
50468,1964,4,42160,9932744,19410,22750,9932744,9932744,
50468,1964,5,53886,9932744,22004,31882,9932744,9932744,
50468,1964,6,43944,9932744,20805,23139,9932744,9932744,
50468,1964,7,64116,9932744,27612,36504,9932744,9932744,
50468,1964,8,53539,9932744,19336,34203,9932744,9932744,
50468,1964,9,37395,9932744,17443,19952,9932744,9932744,
50468,1964,10,24886,9932744,11969,12917,9932744,9932744,
50468,1964,11,15114,9932744,6739,8375,9932744,9932744,
50468,1964,12,9745,9932744,5151,4594,9932744,9932744,
50468,1965,1,14881,9932744,7163,7718,9932744,9932744,
50468,1965,2,22775,9932744,8832,13943,9932744,9932744,
50468,1965,3,39751,9932744,18718,21033,9932744,9932744,
50468,1965,4,47050,9932744,19656,27394,9932744,9932744,
50468,1965,5,62498,9932744,28899,33599,9932744,9932744,
50468,1965,6,73024,9932744,27885,45139,9932744,9932744,
50468,1965,7,58501,9932744,33010,25491,9932744,9932744,
50468,1965,8,53213,9932744,23069,30144,9932744,9932744,
50468,1965,9,36756,9932744,16453,20303,9932744,9932744,
50468,1965,10,28220,9932744,10745,17475,9932744,9932744,
50468,1965,11,19458,9932744,6430,13028,9932744,9932744,
50468,1965,12,13649,9932744,6299,7350,9932744,9932744,
50468,1966,1,16552,9932744,7030,9522,9932744,9932744,
50468,1966,2,26375,9932744,11799,14576,9932744,9932744,
50468,1966,3,47712,9932744,19220,28492,9932744,9932744,
50468,1966,4,52823,9932744,20578,32245,9932744,9932744,
50468,1966,5,63245,9932744,24629,38616,9932744,9932744,
50468,1966,6,69140,9932744,28909,40231,9932744,9932744,
50468,1966,7,66358,9932744,22425,43933,9932744,9932744,
50468,1966,8,48681,9932744,23063,25618,9932744,9932744,
50468,1966,9,44680,9932744,13783,30897,9932744,9932744,
50468,1966,10,25209,9932744,10536,14673,9932744,9932744,
50468,1966,11,19217,9932744,7721,11496,9932744,9932744,
50468,1966,12,15339,9932744,5647,9692,9932744,9932744,
50468,1967,1,18032,9932744,7062,10970,9932744,9932744,
50468,1967,2,27808,9932744,9480,18328,9932744,9932744,
50468,1967,3,45875,9932744,16644,29231,9932744,9932744,
50468,1967,4,47142,9932744,20333,26809,9932744,9932744,
50468,1967,5,52019,9932744,26536,25483,9932744,9932744,
50468,1967,6,72716,9932744,23179,49537,9932744,9932744,
50468,1967,7,54502,9932744,26241,28261,9932744,9932744,
50468,1967,8,51159,9932744,18398,32761,9932744,9932744,
50468,1967,9,42721,9932744,15998,26723,9932744,9932744,
50468,1967,10,29384,9932744,11098,18286,9932744,9932744,
50468,1967,11,18045,9932744,6815,11230,9932744,9932744,
50468,1967,12,10970,9932744,5262,5708,9932744,9932744,
50468,1968,1,14423,9932744,5573,8850,9932744,9932744,
50468,1968,2,23886,9932744,8708,15178,9932744,9932744,
50468,1968,3,41587,9932744,15334,26253,9932744,9932744,
50468,1968,4,42339,9932744,17957,24382,9932744,9932744,
50468,1968,5,58505,9932744,22934,35571,9932744,9932744,
50468,1968,6,63712,9932744,23054,40658,9932744,9932744,
50468,1968,7,64407,9932744,23385,41022,9932744,9932744,
50468,1968,8,47110,9932744,20684,26426,9932744,9932744,
50468,1968,9,36329,9932744,14070,22259,9932744,9932744,
50468,1968,10,33151,9932744,10315,22836,9932744,9932744,
50468,1968,11,17562,9932744,7625,9937,9932744,9932744,
50468,1968,12,12117,9932744,5016,7101,9932744,9932744,
50468,1969,1,18268,9932744,6533,11735,9932744,9932744,
50468,1969,2,25647,9932744,10399,15248,9932744,9932744,
50468,1969,3,38782,9932744,16286,22496,9932744,9932744,
50468,1969,4,48835,9932744,20700,28135,9932744,9932744,
50468,1969,5,56003,9932744,26686,29317,9932744,9932744,
50468,1969,6,65002,9932744,25666,39336,9932744,9932744,
50468,1969,7,54306,9932744,26377,27929,9932744,9932744,
50468,1969,8,40200,9932744,16586,23614,9932744,9932744,
50468,1969,9,44950,9932744,13075,31875,9932744,9932744,
50468,1969,10,24296,9932744,9797,14499,9932744,9932744,
50468,1969,11,16405,9932744,6292,10113,9932744,9932744,
50468,1969,12,11923,9932744,4383,7540,9932744,9932744,
50468,1970,1,15950,9932744,5937,10013,9932744,9932744,
50468,1970,2,23824,9932744,8744,15080,9932744,9932744,
50468,1970,3,44179,9932744,16231,27948,9932744,9932744,
50468,1970,4,53025,9932744,23018,30007,9932744,9932744,
50468,1970,5,65918,9932744,28810,37108,9932744,9932744,
50468,1970,6,75279,9932744,24281,50998,9932744,9932744,
50468,1970,7,60275,9932744,28791,31484,9932744,9932744,
50468,1970,8,46289,9932744,20189,26100,9932744,9932744,
50468,1970,9,30389,9932744,11719,18670,9932744,9932744,
50468,1970,10,35461,9932744,11471,23990,9932744,9932744,
50468,1970,11,19452,9932744,7633,11819,9932744,9932744,
50468,1970,12,14287,9932744,5723,8564,9932744,9932744,
50468,1971,1,17356,9932744,7917,9439,9932744,9932744,
50468,1971,2,24073,9932744,8696,15377,9932744,9932744,
50468,1971,3,42424,9932744,18342,24082,9932744,9932744,
50468,1971,4,50694,9932744,21947,28747,9932744,9932744,
50468,1971,5,55620,9932744,24368,31252,9932744,9932744,
50468,1971,6,73688,9932744,23846,49842,9932744,9932744,
50468,1971,7,60776,9932744,26479,34297,9932744,9932744,
50468,1971,8,57245,9932744,17041,40204,9932744,9932744,
50468,1971,9,39774,9932744,12994,26780,9932744,9932744,
50468,1971,10,26839,9932744,7328,19511,9932744,9932744,
50468,1971,11,17872,9932744,3445,14427,9932744,9932744,
50468,1971,12,11703,9932744,3759,7944,9932744,9932744,
50468,1972,1,16565,9932744,5872,10693,9932744,9932744,
50468,1972,2,26221,9932744,9447,16774,9932744,9932744,
50468,1972,3,44457,9932744,15033,29424,9932744,9932744,
50468,1972,4,56060,9932744,23455,32605,9932744,9932744,
50468,1972,5,55179,9932744,28941,26238,9932744,9932744,
50468,1972,6,59366,9932744,24640,34726,9932744,9932744,
50468,1972,7,54457,9932744,23962,30495,9932744,9932744,
50468,1972,8,49027,9932744,20211,28816,9932744,9932744,
50468,1972,9,39221,9932744,14332,24889,9932744,9932744,
50468,1972,10,22573,9932744,11130,11443,9932744,9932744,
